wavelength (nm), transmission
379, 0.10993072997460929
380, 0.10848461058069159
381, 0.10477137778137124
382, 0.09443674188092399
383, 0.0890741981226848
384, 0.0806956041662863
385, 0.0664510291516327
386, 0.06126160393190916
387, 0.04992599403516085
388, 0.04311843389716885
389, 0.03728677983162476
390, 0.03141594186834751
391, 0.027789280732645416
392, 0.024902524782681734
393, 0.02200708086225789
394, 0.020525480196316614
395, 0.019432920096211115
396, 0.01920071326744477
397, 0.019214403958952353
398, 0.019177918520731696
399, 0.019635997263623084
400, 0.02023052092843214
401, 0.020771744010514848
402, 0.02168618837934977
403, 0.022293621737172087
404, 0.022455296991857443
405, 0.022581929979644588
406, 0.021652402313929286
407, 0.021335130728961538
408, 0.02048665611244882
409, 0.01931830431827941
410, 0.018488747855898158
411, 0.017958062192057866
412, 0.017993818062735478
413, 0.01798634656959508
414, 0.017988234480838416
415, 0.017981779235818562
416, 0.017887927421597283
417, 0.01725284667507898
418, 0.016619594902485213
419, 0.014194845298909353
420, 0.01262871360597595
421, 0.011036587619175808
422, 0.009530555402839092
423, 0.007850451949786175
424, 0.007023904739692055
425, 0.006399518018755268
426, 0.005401212873938022
427, 0.005315791077224352
428, 0.005312939139256123
429, 0.005313435291223634
430, 0.005298481186835513
431, 0.005573989588607553
432, 0.006656414642036035
433, 0.0071737037594321595
434, 0.008238727569796156
435, 0.009848629924961383
436, 0.0109455001786396
437, 0.012581538044534657
438, 0.013731517926473424
439, 0.014342990488104945
440, 0.014048872972244775
441, 0.01343494633184994
442, 0.011820307907624894
443, 0.01068386635119678
444, 0.010117730117567225
445, 0.009162609951351541
446, 0.008527316073968727
447, 0.007644457452571807
448, 0.006926755297060216
449, 0.006335034207251677
450, 0.0057554444072451805
451, 0.005194993670995851
452, 0.004279921911011897
453, 0.003090512859646788
454, 0.002121387649580031
455, 0.0020302262763831624
456, 0.001429638434923941
457, 0.0008344899212613388
458, 0.0008266119243762748
459, 0.000818416047383641
460, 0.0008310482148141674
461, 0.0005880959290913701
462, 0.0
463, 0.000008027035803159777
464, 0.0
465, 0.0
466, 1.8255476907924617e-8
467, 2.7081521469796144e-9
468, 0.0
468.99999999999994, 0.0
470, 1.5228929228783272e-11
470.99999999999994, 0.0
472, 0.0
473, 3.419486915845482e-14
474, 5.551115123125783e-15
475, 0.0
476, 0
477, 0
478, 0
479, 0
480, 0
481, 0
482, 0
483, 0
484, 0
485, 0
486, 0
487, 0
488, 0
489, 0
490, 0
491, 8.881784197001252e-16
492, 0.0
493, 0.0
494, 9.725553695716371e-14
495, 8.193445921733655e-13
496, 0.0
497, 0.0
498, 3.2202351896160053e-10
499, 0.0
500, 0.0
501, 5.020242777042938e-8
502, 4.3838580809918426e-7
503, 0.0
504, 0.0
505, 0.00023061381827793603
506, 0.00040207560555050037
507, 0.0008647668382719687
508, 0.0008131464371941011
509, 0.0008169506218256295
510, 0.0008161518274341084
511, 0.0008132913375480388
512, 0.0009601042597322529
513, 0.0020224083156872297
514, 0.0027472462628979066
515, 0.0036536857572706527
516, 0.0037278830741060975
517, 0.004629717449858406
518, 0.005812532501602519
519, 0.006982468110185547
520, 0.008150308361836833
521, 0.009313154859669881
522, 0.010507177248463728
523, 0.011071612837330713
524, 0.010819490456666303
525, 0.009747561695897966
526, 0.009000084578916656
527, 0.007785896648415003
528, 0.006460870447475786
529, 0.0050288612697637625
530, 0.003875951668738109
531, 0.002672055840517995
532, 0.0019995973082616025
533, 0.0014174530603550117
534, 0.000822164843138129
535, 0.000828744912291457
536, 0.0008106664720215484
537, 0.0007456842470197067
538, 0.00008521403164318819
539, 0.000005041433964958486
540, 0.0
541, 1.7028655374673463e-8
542, 4.434752298720923e-8
543, 0.0
544, 0.0
545, 1.3835621537339193e-10
546, 9.884759677447619e-12
547, 0.0
548, 2.375877272697835e-14
549, 8.459899447643693e-14
550, 0.0
551, 0.0
552, 2.220446049250313e-16
553, 0
554, 0
555, 0
556, 0
557, 2.220446049250313e-16
558, 3.552713678800501e-15
559, 0.0
560, 0.0
561, 1.1679546219056647e-12
562, 0.0
563, 0.0
564, 1.4940049197775807e-10
565, 1.8245183142084898e-9
566, 0.0
567, 0.0
568, 6.136450003690896e-7
569, 2.1010918338504325e-8
570, 0.0
571, 0.00033651516667720927
572, 0.0008482990466813778
573, 0.0008126815724427416
574, 0.0008171461876480546
575, 0.0008176938234982778
576, 0.0008175563653607387
577, 0.000817552839464275
578, 0.0008175560121903569
579, 0.0008175541112183105
580, 0.0008175671379491156
581, 0.0008176038466263247
582, 0.0008169398518953486
583, 0.0008174065618944404
584, 0.0008451382850933609
585, 0.00047631199096143106
586, 0.0
587, 0.000004707055228259094
588, 4.273819897981923e-7
589, 0.0
590, 0.0
591, 3.133576065295074e-9
592, 0.0
593, 0.0
594, 8.819611707622244e-12
595, 8.317790900491673e-13
596, 0.0
597, 0.0
598, 5.995204332975845e-15
599, 0.0
600, 0
601, 0
602, 0
603, 0
604, 0
605, 0.0
606, 3.552713678800501e-15
607, 5.3512749786932545e-14
608, 0.0
609, 0.0
610, 1.646016656309257e-11
611, 1.1090905971400389e-11
612, 0.0
613, 1.7214405456655868e-9
614, 2.83613403873062e-8
615, 0.0
616, 0.0
617, 0.0000086350134691493
618, 0.000006793462107745896
619, 0.0006379081124816555
620, 0.0008239007091848105
621, 0.0008202197868967254
622, 0.0008152109415766606
623, 0.0008065779594019773
