Rel X Fld,Rel Y Fld,Parax X,Parax Y,Real X,Real Y,Rad Dist%,Tan Dist%
-1.0,1.0,2.517435,-2.516951,2.517956,-2.490979,-0.51,-0.53
-0.9,1.0,2.265692,-2.516951,2.266182,-2.493654,-0.5,-0.47
-0.8,1.0,2.013948,-2.516951,2.014402,-2.496047,-0.5,-0.42
-0.7,1.0,1.762205,-2.516951,1.762615,-2.498159,-0.49,-0.36
-0.6,1.0,1.510461,-2.516951,1.510823,-2.49999,-0.49,-0.31
-0.5,1.0,1.258718,-2.516951,1.259026,-2.501539,-0.48,-0.25
-0.4,1.0,1.006974,-2.516951,1.007226,-2.502806,-0.48,-0.2
-0.3,1.0,0.755231,-2.516951,0.755422,-2.503791,-0.48,-0.15
-0.2,1.0,0.503487,-2.516951,0.503616,-2.504496,-0.47,-0.1
-0.1,1.0,0.251744,-2.516951,0.251808,-2.504918,-0.47,-0.05
0.0,1.0,0.0,-2.516951,0.0,-2.505059,-0.47,0.0
0.1,1.0,-0.251744,-2.516951,-0.251808,-2.504918,-0.47,0.05
0.2,1.0,-0.503487,-2.516951,-0.503616,-2.504496,-0.47,0.1
0.3,1.0,-0.755231,-2.516951,-0.755422,-2.503791,-0.48,0.15
0.4,1.0,-1.006974,-2.516951,-1.007226,-2.502806,-0.48,0.2
0.5,1.0,-1.258718,-2.516951,-1.259026,-2.501539,-0.48,0.25
0.6,1.0,-1.510461,-2.516951,-1.510823,-2.49999,-0.49,0.31
0.7,1.0,-1.762205,-2.516951,-1.762615,-2.498159,-0.49,0.36
0.8,1.0,-2.013948,-2.516951,-2.014402,-2.496047,-0.5,0.42
0.9,1.0,-2.265692,-2.516951,-2.266182,-2.493654,-0.5,0.47
1.0,1.0,-2.517435,-2.516951,-2.517956,-2.490979,-0.51,0.53
-1.0,0.9,2.517435,-2.265256,2.517896,-2.241658,-0.46,-0.53
-0.9,0.9,2.265692,-2.265256,2.266129,-2.244333,-0.45,-0.47
-0.8,0.9,2.013948,-2.265256,2.014354,-2.246728,-0.45,-0.42
-0.7,0.9,1.762205,-2.265256,1.762574,-2.24884,-0.44,-0.36
-0.6,0.9,1.510461,-2.265256,1.510788,-2.250671,-0.44,-0.31
-0.5,0.9,1.258718,-2.265256,1.258997,-2.252221,-0.43,-0.25
-0.4,0.9,1.006974,-2.265256,1.007202,-2.253488,-0.43,-0.2
-0.3,0.9,0.755231,-2.265256,0.755404,-2.254474,-0.43,-0.15
-0.2,0.9,0.503487,-2.265256,0.503604,-2.255179,-0.42,-0.1
-0.1,0.9,0.251744,-2.265256,0.251802,-2.255601,-0.42,-0.05
0.0,0.9,0.0,-2.265256,0.0,-2.255742,-0.42,0.0
0.1,0.9,-0.251744,-2.265256,-0.251802,-2.255601,-0.42,0.05
0.2,0.9,-0.503487,-2.265256,-0.503604,-2.255179,-0.42,0.1
0.3,0.9,-0.755231,-2.265256,-0.755404,-2.254474,-0.43,0.15
0.4,0.9,-1.006974,-2.265256,-1.007202,-2.253488,-0.43,0.2
0.5,0.9,-1.258718,-2.265256,-1.258997,-2.252221,-0.43,0.25
0.6,0.9,-1.510461,-2.265256,-1.510788,-2.250671,-0.44,0.31
0.7,0.9,-1.762205,-2.265256,-1.762574,-2.24884,-0.44,0.36
0.8,0.9,-2.013948,-2.265256,-2.014354,-2.246728,-0.45,0.42
0.9,0.9,-2.265692,-2.265256,-2.266129,-2.244333,-0.45,0.47
1.0,0.9,-2.517435,-2.265256,-2.517896,-2.241658,-0.46,0.53
-1.0,0.8,2.517435,-2.013561,2.517834,-1.992073,-0.41,-0.53
-0.9,0.8,2.265692,-2.013561,2.266073,-1.99475,-0.4,-0.47
-0.8,0.8,2.013948,-2.013561,2.014305,-1.997145,-0.4,-0.42
-0.7,0.8,1.762205,-2.013561,1.762531,-1.999258,-0.39,-0.36
-0.6,0.8,1.510461,-2.013561,1.510751,-2.00109,-0.39,-0.31
-0.5,0.8,1.258718,-2.013561,1.258966,-2.002639,-0.38,-0.25
-0.4,0.8,1.006974,-2.013561,1.007178,-2.003908,-0.38,-0.2
