Pixel,Wavelength
-179.35822670541666,0.8
-178.70079196001666,0.801
-178.04575234912778,0.802
-177.3930945557611,0.803
-176.74280535482222,0.804
-176.0948716123111,0.805
-175.44928028459998,0.806
-174.8060184176111,0.807
-174.16507314611667,0.808
-173.52643169297778,0.809
-172.89008136840556,0.81
-172.25600956924444,0.811
-171.62420377821113,0.812
-170.99465156324445,0.8130000000000001
-170.36734057673334,0.8140000000000001
-169.74225855487222,0.8150000000000001
-169.11939331691667,0.8160000000000001
-168.49873276451666,0.8170000000000001
-167.88026488106667,0.8180000000000001
-167.26397773097779,0.8190000000000001
-166.64985945904445,0.8200000000000001
-166.03789828977222,0.8210000000000001
-165.42808252673888,0.8220000000000001
-164.82040055192223,0.8230000000000001
-164.21484082508334,0.8240000000000001
-163.61139188310554,0.8250000000000001
-163.01004233938886,0.8260000000000001
-162.4107808832167,0.8270000000000001
-161.81359627914446,0.8280000000000001
-161.2184773663611,0.8290000000000001
-160.62541305813335,0.8300000000000001
-160.0343923411611,0.8310000000000001
-159.44540427502224,0.8320000000000001
-158.85843799152778,0.8330000000000001
-158.27348269420557,0.8340000000000001
-157.69052765769442,0.8350000000000001
-157.10956222715558,0.8360000000000001
-156.53057581773334,0.8370000000000001
-155.95355791398333,0.8380000000000001
-155.37849806931666,0.8390000000000001
-154.80538590544998,0.8400000000000001
-154.23421111186667,0.8410000000000001
-153.66496344528332,0.8420000000000001
-153.09763272908333,0.8430000000000001
-152.53220885282778,0.8440000000000001
-151.96868177169443,0.8450000000000001
-151.40704150599444,0.8460000000000001
-150.84727814063888,0.8470000000000001
-150.28938182462224,0.8480000000000001
-149.73334277051669,0.8490000000000001
-149.1791512539889,0.8500000000000001
-148.6267976133,0.8510000000000001
-148.0762722488111,0.8520000000000001
-147.52756562248888,0.8530000000000001
-146.98066825741114,0.8540000000000001
-146.43557073735,0.8550000000000001
-145.89226370621668,0.8560000000000001
-145.35073786767222,0.8570000000000001
-144.81098398457777,0.8580000000000001
-144.27299287861666,0.8590000000000001
-143.73675542978333,0.8600000000000001
-143.2022625759611,0.861
-142.66950531246113,0.8620000000000001
-142.13847469157776,0.863
-141.60916182214999,0.8640000000000001
-141.08155786915,0.865
-140.55565405318887,0.8660000000000001
-140.03144165017224,0.867
-139.5089119908111,0.8680000000000001
-138.98805646024445,0.869
-138.46886649758332,0.8700000000000001
-137.95133359553887,0.871
-137.4354492999778,0.8720000000000001
-136.92120520955,0.873
-136.40859297525554,0.874
-135.8976043000778,0.875
-135.38823093857778,0.876
-134.8804646964778,0.877
-134.37429743032777,0.878
-133.86972104706666,0.879
-133.36672750367222,0.88
-132.86530880679445,0.881
-132.36545701235556,0.882
-131.86716422518333,0.883
-131.37042259866666,0.884
-130.8752243343722,0.885
-130.38156168168888,0.886
-129.8894269374611,0.887
-129.3988124456722,0.888
-128.9097105970389,0.889
-128.42211382870556,0.89
-127.93601462387778,0.891
-127.45140551149444,0.892
-126.9682790658889,0.893
-126.48662790642776,0.894
-126.00644469721111,0.895
-125.52772214672223,0.896
