Star,RA,Dec,V_mag,J_mag,Spec_type,Rotation,Planet,Pradius
HAT-P-19,9.516583,34.711402,12.8,11.1,K1,35,b,12.7
HAT-P-11,297.7101763,48.0818635,9.5,7.6,K4,29,b,4.4
HIP 65 A,0.185606,-54.830823,11,8.9,K4,13,b,22.8
HATS-72,339.025840,-17.000305,12.3,10.4,K5,49,b,8.1
WASP-69,315.025966,-5.094857,9.9,8,K5,23,b,12.4
GJ 9827,351.7717763,-1.2853435,10.4,8,K5,29,c,1.2
WASP-107,188.3864277,-10.1462141,11.6,9.4,K6,17,b,10.5
K2-141,350.9170464,-1.1891827,11.5,9.1,K7,14,c,7
K2-3,172.3353708,-1.4551364,12.2,9.4,M0,40,b,2
GJ 3470,119.7735021,15.391209,12.3,8.8,M1.5,21,b,4.6
AU Mic,311.2911369,-31.34245,8.8,5.4,M1,4.9,b,4.2
GJ 357,144.0074644,-21.6650634,10.9,7.3,M2.5,78,b,1.2
GJ 436,175.5505363,26.7030669,10.7,6.9,M2.5,44,b,4.2
LTT 1445 A,45.4624781,-16.5944956,10.6,7.3,M2.5,1,b,1.4
L 98-59,124.5328604,-68.314466,11.7,7.9,M3,78,c,1.4
L 98-59,124.5328604,-68.314466,11.7,7.9,M3,78,d,1.6
GJ 486,191.981531,9.7494181,11.4,7.2,M3.5,130,b,1.3
GJ 1132,153.7090696,-47.1549358,13.7,9.2,M4.5,122,b,1.1
LHS 1140,11.248632,-15.2741085,14.2,9.6,M4.5,131,c,1.3
LHS 3844,340.496204,-69.1721081,15.2,10,M5,100,b,1.3
TRAPPIST-1,346.6263919,-5.0434618,17,11.4,M8,1,b,1.1
TRAPPIST-1,346.6263919,-5.0434618,17,11.4,M8,1,e,0.9
TRAPPIST-1,346.6263919,-5.0434618,17,11.4,M8,1,f,1
