Wavelength,Reflectance
0.22,76.41042
0.23,81.55065
0.24,85.14807
0.25,87.71277
0.26,89.4545
0.27,90.71416
0.28,91.39173
0.29,92.33741
0.3,92.60458
0.31,92.71703
0.32,92.791
0.33,92.83171
0.34,92.71302
0.35,92.60392
0.36,92.44154
0.37,92.2634
0.38,92.01947
0.39,91.72912
0.4,91.43034
0.41,91.11421
0.42,90.76228
0.43,90.40933
0.44,90.02299
0.45,89.63967
0.46,89.26031
0.47,88.85612
0.48,88.4506
0.49,88.03444
0.5,87.61256
0.51,87.20327
0.52,86.79321
0.53,86.41968
0.54,86.02902
0.55,85.66128
0.56,85.27952
0.57,84.96813
0.58,84.63282
0.59,84.317
0.6,84.02262
0.61,83.7413
0.62,83.44484
0.63,83.18281
0.64,82.91736
0.65,82.66213
0.66,82.42996
0.67,82.17626
0.68,81.93945
0.69,81.68731
0.7,81.43987
0.71,81.17324
0.72,80.90724
0.73,80.59129
0.74,80.26726
0.75,79.88154
0.76,79.5109
0.77,79.1092
0.78,78.656
0.79,78.22699
0.8,77.81998
0.81,77.50896
0.82,77.37095
0.83,77.42034
0.84,77.70611
0.85,78.26806
0.86,79.04625
0.87,80.02759
0.88,81.12428
0.89,82.07529
0.9,83.21328
0.91,84.2821
0.92,85.27938
0.93,86.21358
0.94,87.01546
0.95,87.74992
0.96,88.42826
0.97,89.03241
0.98,89.57591
0.99,90.02942
1.0,90.42942
1.01,90.83249
1.02,91.19492
1.03,91.50482
1.04,91.79685
1.05,92.06823
1.06,92.30364
1.07,92.51932
1.08,92.7479
1.09,92.90593
1.1,93.08026
1.11,93.25113
1.12,93.38002
1.13,93.52597
1.14,93.66245
1.15,93.77009
1.16,93.88981
1.17,94.03114
1.18,94.13283
1.19,94.2204
1.2,94.31453
1.21,94.38697
1.22,94.44078
1.23,94.5085
1.24,94.57667
1.25,94.63635
1.26,94.72396
1.27,94.81297
1.28,94.88844
1.29,94.93739
1.3,94.97482
1.31,95.00668
1.32,95.09292
1.33,95.14733
1.34,95.22795
1.35,95.29255
1.36,95.36949
1.37,95.40981
1.38,95.43956
1.39,95.42503
1.4,95.4425
1.41,95.48161
1.42,95.52215
1.43,95.56043
1.44,95.59023
1.45,95.61678
1.46,95.67901
1.47,95.72865
1.48,95.75594
1.49,95.79485
1.5,95.81743
1.51,95.85023
1.52,95.88915
1.53,95.92326
1.54,95.95049
1.55,95.9683
1.56,96.00514
1.57,95.99092
1.58,95.98859
